Designator,Mid X,Mid Y,Rotation,Layer
C1101,86.5,-78.0,180.0,top
C1102,82.5,-82.2425,270.0,top
C1103,81.0,-82.2425,270.0,top
C1104,80.8,-67.7,90.0,top
C1301,91.9,-107.7,0.0,top
C1401,97.61,-107.65,0.0,top
C1501,104.85,-107.65,0.0,top
C1601,113.25,-107.65,0.0,top
C201,89.25,-85.3,270.0,top
C202,87.75,-85.7,270.0,top
C203,87.25,-72.3,0.0,top
C204,88.75,-74.3,0.0,top
C205,90.75,-84.41,270.0,top
C206,116.5,-103.2,0.0,top
C207,116.5,-102.2,0.0,top
C208,105.1,-98.65,90.0,top
C209,88.1,-79.9,270.0,top
C210,91.0,-74.3,270.0,top
C211,117.58,-104.6,180.0,top
C212,92.2,-75.2,270.0,top
C213,86.3,-75.925,90.0,top
C301,120.4,-88.95,270.0,top
C401,86.78,-82.8,0.0,top
C501,107.9,-71.92,90.0,top
C502,95.5,-84.5,270.0,top
C503,94.475,-86.2,0.0,top
C504,102.9,-72.0,270.0,top
C505,94.45,-87.7,0.0,top
C506,94.5,-84.5,270.0,top
C507,119.7,-78.58,90.0,top
C508,118.9,-68.2,90.0,top
C509,119.66,-76.65,270.0,top
C510,119.575,-81.31,90.0,top
C511,96.875,-88.0,0.0,top
C512,93.5,-84.5,90.0,top
C513,98.6,-87.7,270.0,top
C601,117.8,-64.85,180.0,top
C602,107.0625,-60.12,0.0,top
C603,115.7375,-63.35,270.0,top
C604,106.5,-61.8,0.0,top
C605,109.9,-62.9,180.0,top
C606,109.1,-59.02,270.0,top
C901,85.4,-95.02,90.0,top
C902,82.9,-99.5,0.0,top
C903,80.3,-99.8,270.0,top
C904,80.2,-85.8,90.0,top
D201,117.0,-96.2,90.0,top
D202,114.0,-96.2,90.0,top
D203,116.25,-112.5,270.0,top
D204,79.3,-104.775,270.0,top
D205,77.3,-104.875,270.0,top
D206,81.2,-104.875,270.0,top
D207,75.4,-104.875,270.0,top
FB601,118.0375,-63.25,180.0,top
FB602,106.8,-58.52,0.0,top
IC1101,85.65,-79.85,180.0,top
IC301,91.575,-67.949937,90.0,top
IC901,83.85,-97.35,180.0,top
J1001,98.0,-67.2,0.0,top
J1301,85.75,-114.45,0.0,top
J1401,94.25,-114.45,0.0,top
J1501,102.75,-114.45,0.0,top
J1601,111.25,-114.45,0.0,top
J201,94.325,-97.85,90.0,top
J202,123.85,-97.78,90.0,top
J203,127.7,-88.1,90.0,top
J204,127.7,-79.7,90.0,top
J301,93.25,-57.25,180.0,top
J401,73.15,-92.6,270.0,top
J402,73.15,-74.15,270.0,top
J501,123.75,-70.4,180.0,top
J601,115.1,-56.1,180.0,top
J701,85.1875,-67.2,0.0,top
L201,91.95,-85.2,90.0,top
L501,96.775,-85.8,270.0,top
LED801,88.515,-89.985,90.0,top
LED802,88.315,-105.315,0.0,top
LED803,88.515,-100.315,90.0,top
LED804,88.515,-95.145,90.0,top
PS201,89.4,-77.1,0.0,top
Q201,123.2,-104.85,180.0,top
R101,111.1,-86.8,0.0,top
R102,111.1,-87.8,0.0,top
R103,109.1,-87.8,180.0,top
R104,109.1,-86.8,180.0,top
R1101,80.9,-79.7425,270.0,top
R1301,82.8,-107.7,0.0,top
R1302,84.71,-107.7,180.0,top
R1401,93.81,-107.65,0.0,top
R1402,95.71,-107.65,180.0,top
R1501,101.05,-107.65,0.0,top
R1502,102.95,-107.65,180.0,top
R1601,109.45,-107.65,0.0,top
R1602,111.35,-107.65,180.0,top
R201,90.75,-86.31,90.0,top
R202,115.48,-104.2,180.0,top
R203,87.25,-84.3,0.0,top
R204,88.25,-82.6,90.0,top
R205,93.2,-72.7,270.0,top
R206,89.91,-72.6,180.0,top
R207,92.1,-72.59,270.0,top
R208,118.4,-103.6,0.0,top
R209,117.95,-113.2,180.0,top
R210,118.45,-111.7,90.0,top
R211,117.45,-111.7,90.0,top
R212,117.5,-106.29,270.0,top
R213,116.5,-106.3,270.0,top
R214,79.11,-102.65,180.0,top
R215,77.2,-102.65,180.0,top
R216,81.0,-102.65,180.0,top
R217,75.31,-102.65,0.0,top
R401,84.84,-81.8,0.0,top
R402,86.8,-81.8,0.0,top
R501,102.9,-73.9,90.0,top
R502,108.1,-77.11,270.0,top
R503,118.9,-71.99,90.0,top
R504,119.575,-83.21,270.0,top
R505,118.9,-70.1,270.0,top
R506,119.575,-85.11,90.0,top
R901,80.3,-97.3,270.0,top
RV601,105.0,-66.85,0.0,top
SW501,114.175,-76.25,180.0,top
SW502,113.4,-69.7,0.0,top
SW503,114.075,-82.75,0.0,top
U1101,82.8,-74.7425,90.0,top
U201,90.425,-81.39,90.0,top
U202,117.1,-109.3,0.0,top
U301,116.6,-88.96,90.0,top
U501,102.15,-80.25,0.0,top
U601,112.995,-64.1,0.0,top
U801,83.874999,-103.7522,90.0,top
U901,82.2,-92.3,90.0,top
Y501,105.42,-72.8,0.0,top
